Person,Country,Age,ID_Organisation,ID_Catalog
Charlie Anderson,UK,41,149,450
Zachary Hall,South Africa,56,144,174
Steve White,Belgium,70,15,5
Helen Williams,Russia,27,308,490
Nina Walker,Canada,35,255,398
Ethan Keller,Argentina,64,410,301
Paula Anderson,Canada,28,334,439
Xavier King,Arizona,42,200,409
Quentin Keller,Finland,23,483,298
Kevin Hall,Arizona,18,405,300
George Anderson,UK,26,209,350
Laura Brown,Italy,24,97,211
Zachary Allen,Mexico,18,124,141
Quentin Walker,Mexico,50,97,447
Xavier Moore,Puerto Rico,20,8,354
Nina Gallagher,India,58,365,339
Steve Jackson,Italy,55,416,93
Tina White,Mexico,52,314,384
Mike Martin,Ukraine,53,71,428
Charlie Young,China,61,433,223
Ethan Moore,Ukraine,37,257,4
Bob Prince,Belgium,24,332,229
George Anderson,Israel,75,297,340
Zachary Thomas,Poland,39,120,161
Victor Prince,Belgium,43,283,117
Fiona Martin,South Africa,81,311,250
Wendy Davis,France,22,47,228
Bob Thompson,China,32,350,365
Tina Thomas,Ukraine,73,208,488
Charlie Young,Brazil,21,439,139
Yvonne Lewis,Israel,52,47,358
Julia Gallagher,Brazil,56,366,180
Yvonne Hunt,Switzerland,43,248,87
Victor Rodriguez,China,61,441,208
Victor Moore,Italy,42,25,471
Ethan Martin,Poland,64,141,327
Oscar Allen,China,28,424,43
Kevin Clark,Canada,24,428,269
Oscar Brown,Argentina,51,38,478
Xavier Williams,India,31,60,214
Diana Davis,Israel,67,132,131
Mike Allen,Russia,29,299,439
Quentin Keller,Germany,74,186,410
Julia Gallagher,Israel,78,109,492
Xavier King,Argentina,85,440,334
Yvonne Jackson,Netherlands,46,255,370
Victor Moore,South Korea,79,235,3
Alice Moore,Italy,34,175,125
Fiona Jackson,China,36,45,385
Ursula Young,UK,36,387,85
Mike Moore,Germany,68,341,208
Nina Young,UK,34,278,221
Laura Young,Sweden,43,425,293
Ursula White,Puerto Rico,24,210,158
Mike King,Argentina,33,500,56
Yvonne Allen,USA,17,97,350
Xavier Moore,USA,18,229,24
Zachary Keller,India,82,398,32
Quentin Walker,Namibia,69,471,366
Wendy King,South Africa,44,85,19
Paula Wright,France,81,121,140
Quentin Anderson,Australia,71,252,370
Julia Rodriguez,Arizona,68,479,351
Fiona Lee,Belgium,60,31,437
Paula Wright,South Korea,50,416,175
Mike Jackson,Arizona,33,219,242
Mike White,South Africa,27,396,307
Quentin Gallagher,Namibia,29,229,301
Ian Moore,China,60,2,440
Zachary Brown,Switzerland,55,171,392
Ethan King,Australia,23,96,224
Fiona Harris,India,23,111,65
Xavier Harris,Mexico,60,88,488
Laura Thompson,India,46,6,314
Wendy King,France,75,386,397
Ian King,France,64,117,172
Charlie Martin,Namibia,59,76,332
Ethan Anderson,Puerto Rico,67,382,246
Laura Prince,Canada,59,363,286
George Moore,UK,23,369,409
Laura Costanza,Austria,68,308,477
George Costanza,Canada,79,223,119
George Anderson,Canada,35,273,484
Laura Allen,Austria,36,396,485
Yvonne Clark,India,75,72,459
Zachary Keller,India,38,96,173
Yvonne Lewis,Sweden,29,19,120
Zachary Keller,China,22,4,279
Wendy Lewis,Israel,34,336,107
Ian Brown,Sweden,73,6,137
George Costanza,India,41,350,64
Ursula Walker,Namibia,42,274,144
Laura Harris,Russia,32,185,331
Paula Rodriguez,USA,50,238,113
Oscar Prince,Argentina,63,386,479
Victor Hall,Italy,77,487,216
Steve Hall,Denmark,85,9,458
Ursula Walker,Denmark,53,190,433
Wendy White,Israel,54,373,426
Wendy Hunt,China,63,251,341
Wendy Rodriguez,India,75,318,343
Fiona Martin,South Korea,19,166,106
Wendy Hunt,Arizona,41,332,497
Tina Martin,Argentina,83,186,316
George Anderson,Canada,83,285,110
Ursula Wright,France,44,309,234
Tina Lee,Puerto Rico,82,442,112
Victor Costanza,Russia,63,12,122
Fiona Prince,Namibia,63,388,298
Victor Martin,Norway,62,400,42
Victor Hall,UK,32,170,6
Mike Martin,South Africa,83,208,327
Victor King,France,67,331,235
Helen Thomas,India,69,242,48
Julia Lewis,South Africa,47,73,287
Steve White,Russia,16,119,271
Kevin Gallagher,Israel,34,439,241
Mike Gallagher,Australia,29,167,181
Steve King,Austria,46,465,347
Oscar Thomas,Sweden,69,117,306
Tina Anderson,Ukraine,52,4,103
Rachel Lewis,Norway,57,404,381
Julia Martin,Finland,71,399,340
Ursula White,Switzerland,25,241,30
Quentin Moore,Sweden,20,28,77
Xavier Davis,UK,34,377,414
Oscar Costanza,Denmark,64,114,350
Xavier Gallagher,Norway,65,337,407
Oscar Costanza,Netherlands,37,485,374
George Thomas,Namibia,73,138,289
George Lee,Japan,70,342,201
Bob Wright,China,31,18,309
Bob Thomas,Argentina,71,203,369
Xavier Williams,Arizona,42,500,440
Xavier Hunt,Belgium,55,156,474
Yvonne Thompson,Switzerland,76,264,183
Tina White,South Africa,27,248,221
Zachary Brown,UK,41,254,50
Nina Thomas,Finland,29,8,147
Laura King,India,47,367,140
Nina Martin,Israel,48,469,253
Zachary Costanza,India,85,226,394
Rachel Brown,Poland,32,257,484
Steve Williams,Ukraine,65,224,177
Charlie Rodriguez,Switzerland,72,278,410
Julia Young,Arizona,72,47,304
Quentin King,Namibia,46,228,141
Helen Anderson,Norway,21,311,420
Mike Clark,Poland,43,258,21
Mike Gallagher,Poland,23,77,123
Alice Clark,Denmark,51,202,411
Tina Walker,Spain,49,477,114
Julia King,India,61,129,271
Mike Lee,Ukraine,38,58,96
Diana Hall,Norway,65,17,422
Helen Clark,Arizona,24,3,267
Rachel Brown,Sweden,58,445,159
Nina Lee,South Korea,64,219,1
Julia Lewis,Germany,43,245,207
Ian Thompson,South Africa,74,221,377
Steve Prince,Russia,70,42,96
Fiona Prince,Ukraine,21,387,122
Xavier Lewis,Austria,56,180,283
Zachary Martin,Namibia,24,327,289
Ursula Brown,France,54,63,161
Quentin Lee,India,43,111,191
Ethan Rodriguez,Belgium,67,1,52
Helen Clark,Poland,56,384,1
Yvonne Williams,Spain,59,403,438
Paula Costanza,Argentina,17,55,449
Bob Davis,Netherlands,53,416,182
Oscar Prince,Russia,63,287,29
Mike Young,Russia,53,312,291
Yvonne Lewis,Italy,40,468,206
Ursula Wright,Finland,20,450,183
Kevin Prince,China,44,427,476
Steve Martin,Arizona,26,257,222
Zachary Hall,India,25,248,4
Rachel Williams,Israel,34,306,436
George Allen,Spain,62,9,252
Wendy Prince,South Africa,26,79,493
Steve Keller,Sweden,33,39,391
George Anderson,Norway,36,493,70
Alice Lewis,Mexico,21,341,27
George Moore,Japan,76,254,186
Quentin Rodriguez,Norway,65,80,367
Oscar Anderson,USA,65,205,55
Charlie Allen,Netherlands,69,404,500
Xavier Hunt,France,45,470,31
Mike Lewis,Finland,25,220,163
Paula Hall,Russia,37,57,61
Rachel Martin,Germany,24,278,42
Diana Hall,Canada,45,448,348
Tina Lee,India,41,31,94
Kevin White,Namibia,79,298,369
Ethan Brown,South Africa,35,114,59
Zachary Thomas,Ukraine,71,285,337
Wendy Clark,China,18,452,299
Wendy Harris,China,67,441,281
Alice Thomas,Norway,19,177,84
Charlie Davis,Australia,22,432,112
Zachary Martin,USA,82,63,208
Zachary Anderson,China,17,130,131
Xavier Wright,Belgium,21,449,278
Wendy Davis,India,29,132,20
Zachary King,Brazil,50,218,289
Kevin Anderson,South Africa,61,16,420
Mike Williams,Ukraine,80,18,212
Ethan Allen,Puerto Rico,49,175,204
Nina Lee,India,85,469,427
Laura Lewis,France,78,133,73
Tina Anderson,Russia,55,74,341
Tina Hall,UK,53,318,184
Oscar Walker,Arizona,71,92,162
George Hall,South Korea,74,208,386
Mike Lee,Russia,60,100,23
Diana Harris,South Korea,79,72,269
Ursula Harris,Italy,76,151,345
Wendy Harris,Argentina,56,299,465
Bob Hunt,Denmark,32,312,413
Oscar Harris,Russia,31,389,200
Mike Hunt,Austria,71,5,394
George Thomas,Argentina,32,139,414
Mike Rodriguez,Belgium,77,334,24
Diana Harris,Finland,64,81,430
Paula Young,India,53,23,81
Charlie White,India,32,106,45
Wendy Hunt,Poland,34,141,92
George Jackson,Australia,59,424,381
Mike Brown,USA,82,165,382
Quentin Lee,Israel,65,450,33
Oscar Gallagher,China,62,490,435
Alice Jackson,Australia,17,321,185
Xavier Keller,Ukraine,41,393,45
George Young,Italy,81,140,191
Nina Williams,Ukraine,45,148,340
Ethan Keller,Australia,32,372,368
Wendy Prince,USA,26,453,76
Steve Anderson,Mexico,44,372,56
Zachary Anderson,Japan,51,442,16
Zachary Rodriguez,India,81,114,136
Wendy Wright,Switzerland,75,449,428
Paula Lewis,Australia,54,24,388
Ethan Prince,Italy,70,477,272
Ethan Keller,Russia,43,252,319
Steve Hall,Argentina,26,258,56
Ursula Williams,France,65,78,442
Julia Gallagher,Belgium,60,238,266
Yvonne Lee,South Africa,43,348,171
Laura Clark,China,73,498,145
Yvonne White,Canada,69,110,393
Wendy Thomas,Namibia,82,487,273
Ethan Costanza,India,35,162,160
Julia Young,Netherlands,32,328,165
George Jackson,Italy,24,461,239
Quentin Hall,Netherlands,19,170,24
Helen Anderson,Ukraine,62,118,284
Xavier Clark,Netherlands,81,493,242
Fiona Williams,Mexico,72,204,243
Nina Harris,Denmark,21,273,66
Rachel Rodriguez,India,54,165,362
Wendy Clark,Arizona,26,371,341
Ethan Brown,China,56,107,37
Victor Costanza,Denmark,62,310,98
Diana White,Canada,66,66,49
Victor Walker,France,77,431,152
Wendy Davis,Mexico,49,113,2
Ursula Prince,USA,65,42,143
Julia White,Australia,64,477,157
Laura Allen,Puerto Rico,55,139,477
George Costanza,Japan,77,50,416
Diana Hall,Finland,45,117,420
Helen Anderson,Arizona,37,319,222
Tina Thompson,UK,27,13,385
Alice Young,Sweden,54,116,151
Julia Lee,India,62,379,365
Rachel Allen,Norway,68,321,36
Xavier Clark,Argentina,80,48,429
Paula Clark,Austria,22,486,364
Zachary Hunt,Italy,62,294,303
Ethan Moore,Mexico,43,234,224
Helen Clark,Canada,78,463,148
Steve Brown,Sweden,43,61,83
Fiona Gallagher,India,57,136,286
Alice Thompson,USA,53,231,106
Victor Prince,Israel,83,112,409
Mike Rodriguez,Puerto Rico,55,236,242
Xavier Moore,Mexico,16,236,10
Helen Harris,Denmark,68,441,391
Laura Harris,USA,16,345,496
Oscar Harris,Canada,36,438,282
Ethan Prince,Netherlands,84,66,62
Steve Costanza,Namibia,69,443,491
Rachel Gallagher,China,49,391,226
Ethan Martin,Mexico,43,307,106
George Williams,Israel,62,330,301
Nina Lewis,Spain,20,461,206
Mike Hall,Austria,20,455,140
Rachel White,India,28,94,104
Ian Walker,Mexico,42,175,267
Zachary Young,South Africa,27,58,495
Quentin Hall,Israel,71,180,51
Ethan Anderson,Netherlands,31,15,447
Mike Young,Brazil,75,286,350
Charlie Moore,UK,55,287,364
Xavier Keller,Denmark,48,321,487
Quentin Prince,Russia,68,373,174
Steve White,Finland,63,294,478
Ian Gallagher,Japan,47,256,294
Yvonne Costanza,China,42,391,437
Nina Costanza,Austria,59,296,255
Fiona Moore,Austria,75,219,267
Paula Moore,India,62,291,108
Laura Wright,South Africa,25,107,427
Yvonne Thomas,Russia,78,132,305
Charlie Lewis,Norway,44,397,417
Rachel Williams,Israel,38,222,403
Paula Hunt,Switzerland,41,312,311
Bob Hall,India,67,59,187
Bob Brown,China,25,42,115
Tina Prince,Ukraine,55,270,496
Bob Thomas,South Korea,39,384,102
Nina Anderson,India,36,389,39
Ian Lewis,USA,27,2,443
Xavier Clark,Austria,28,410,479
Mike King,Mexico,74,361,311
Bob Thomas,Russia,59,464,247
Helen Clark,UK,64,233,314
Steve Harris,Puerto Rico,45,199,232
Fiona Brown,Austria,31,24,411
Fiona King,Switzerland,74,93,222
Julia Keller,Netherlands,23,187,261
Zachary Harris,Arizona,36,459,137
Laura Lee,China,29,341,433
Yvonne Walker,Finland,62,469,350
Oscar Lee,Switzerland,36,394,449
Paula Thompson,USA,31,60,349
Kevin Thomas,China,75,347,256
George Walker,Netherlands,68,3,419
Steve Martin,Namibia,59,209,261
Rachel Allen,Belgium,24,18,476
Yvonne Clark,Ukraine,76,103,483
Laura Clark,Denmark,77,442,425
Steve Thomas,Sweden,40,438,211
Ian Anderson,India,22,87,196
George Hunt,India,66,430,253
Victor Martin,Norway,66,414,447
Zachary Anderson,Ukraine,82,228,336
Xavier Harris,Denmark,49,420,299
Ursula Anderson,Arizona,26,179,182
Ursula Wright,Brazil,51,438,227
Ian Jackson,France,32,130,13
Yvonne White,Brazil,72,254,87
Tina Walker,USA,50,348,426
Xavier Clark,Austria,56,450,117
Ursula Lee,Mexico,58,450,14
Helen Thompson,Norway,51,284,444
Alice King,China,83,4,192
Helen Rodriguez,Sweden,41,374,274
Laura Harris,Switzerland,39,370,311
Diana Keller,Belgium,64,156,500
Xavier Clark,France,51,416,400
Bob Moore,India,74,108,29
Zachary Anderson,Russia,61,1,370
Mike Costanza,Netherlands,48,430,16
Kevin Prince,France,34,209,185
Quentin Keller,Arizona,71,106,104
Julia Harris,Puerto Rico,51,332,219
Ian Allen,Austria,71,382,20
Helen Costanza,Canada,78,101,421
Zachary Lewis,China,49,58,172
Tina Hunt,Germany,52,419,418
Charlie Brown,Russia,18,92,322
Paula Martin,France,77,412,274
Diana Hall,Poland,30,201,154
Quentin Anderson,Puerto Rico,76,290,325
Paula Costanza,Argentina,41,121,442
Bob Martin,Russia,49,129,111
Kevin Thompson,Finland,50,362,485
Paula Clark,Sweden,59,12,485
Zachary White,Netherlands,68,17,96
Yvonne Thompson,UK,67,441,271
Paula Jackson,South Africa,76,31,247
Charlie Walker,Italy,36,308,94
Helen Young,Austria,28,442,112
Steve Prince,Canada,40,252,237
Ian White,Argentina,54,492,345
Diana Allen,Sweden,47,256,211
Quentin Thompson,USA,58,470,356
Quentin King,USA,78,297,34
Yvonne Brown,Austria,62,61,454
Bob Martin,South Africa,21,254,19
Oscar Clark,Sweden,84,349,331
Julia Thompson,Argentina,50,263,497
George Wright,USA,45,131,265
Yvonne White,Puerto Rico,43,222,477
Kevin Hall,South Korea,16,445,150
Ian Lee,Canada,77,95,264
Alice Lee,USA,40,61,444
Oscar Rodriguez,Namibia,47,406,340
Zachary Harris,Mexico,47,379,486
Charlie Martin,India,82,167,383
Tina Clark,South Africa,49,137,456
Alice Rodriguez,Poland,43,13,103
Fiona Walker,France,75,321,455
Laura Martin,USA,59,80,217
Tina Lee,Germany,31,381,186
Fiona Costanza,France,32,311,486
Tina Hall,Austria,64,101,113
Bob Lee,Spain,47,184,436
Mike White,Mexico,16,126,16
Oscar Lee,Italy,61,141,413
Zachary Brown,Netherlands,75,107,474
Fiona Williams,Italy,34,444,500
Ursula Lee,Norway,43,48,286
Kevin Williams,UK,53,66,103
Charlie Hall,Canada,20,389,355
Mike Clark,Canada,23,155,271
Diana Wright,France,46,466,496
Alice White,Israel,83,148,363
Oscar Costanza,Argentina,61,228,388
Paula Lee,Arizona,42,301,416
Quentin Young,Australia,50,426,367
Kevin Walker,Poland,46,270,425
Diana White,Russia,84,81,249
Ethan Hall,Switzerland,81,446,71
Nina Anderson,Canada,61,445,490
Diana Clark,Ukraine,39,446,186
Laura Walker,Puerto Rico,69,397,271
Zachary Clark,Russia,59,464,174
Steve Brown,Brazil,22,480,263
Diana Lewis,South Africa,58,433,156
Ian Young,Namibia,74,199,53
Victor Wright,Ukraine,17,423,363
Yvonne Thomas,Namibia,52,300,379
Diana Allen,Poland,19,262,293
Ethan Walker,Mexico,52,209,365
Julia Brown,Brazil,58,14,228
Nina Lee,Finland,60,402,181
Tina Allen,Sweden,63,441,171
Quentin Clark,Japan,23,260,388
Wendy Hunt,Australia,73,225,398
Kevin Thomas,Arizona,73,322,255
Paula Anderson,Finland,39,190,146
Wendy Prince,Canada,43,264,230
Ethan Thomas,Brazil,77,306,241
Tina Brown,UK,79,32,364
Julia Jackson,Finland,52,281,427
Julia Lewis,Belgium,75,459,136
Xavier Prince,South Africa,70,68,102
Victor Lewis,Ukraine,69,338,433
Paula Prince,Australia,58,187,301
Helen Jackson,UK,37,398,231
Nina Thompson,Mexico,18,193,155
Diana Wright,Australia,35,252,76
Victor Moore,Austria,62,102,413
Charlie Thomas,Finland,30,356,322
George Anderson,China,79,465,476
Ursula Brown,Germany,59,145,492
Laura Jackson,Brazil,53,181,183
Tina Jackson,Finland,71,411,96
Diana Martin,Sweden,42,191,407
Victor Moore,Belgium,69,261,28
Rachel Wright,Norway,16,155,412
Xavier Lewis,Russia,19,258,214
Yvonne Allen,Germany,53,103,41
Paula Davis,Finland,58,349,242
Rachel Jackson,Spain,27,321,368
Steve Thompson,India,44,201,285
Mike Brown,Brazil,24,343,349
Nina Brown,Argentina,82,260,280
Laura Walker,UK,27,18,189
Laura Wright,Switzerland,26,48,56
Laura Costanza,Netherlands,21,83,208
Julia Brown,France,40,352,348
Xavier Keller,Sweden,71,125,256
Steve Brown,Netherlands,16,341,343
Helen Rodriguez,Arizona,82,87,484
Ursula Davis,Sweden,83,153,146
Oscar Clark,China,68,396,232
Nina Harris,Brazil,50,451,432
Zachary Hunt,USA,85,120,154
Quentin Allen,Russia,39,151,96
Xavier King,Austria,71,150,247
Ian Hunt,Belgium,55,141,435
Bob Anderson,Puerto Rico,40,393,351
Yvonne Gallagher,India,71,209,123
Oscar Lee,Poland,82,48,350
Wendy Rodriguez,China,72,423,438
Julia Anderson,Spain,55,199,270
Oscar Hall,Russia,55,478,487
Ian Harris,Sweden,58,128,48
Zachary Jackson,Ukraine,71,207,160
Ursula Hunt,Switzerland,51,6,483
Ethan Walker,Denmark,17,434,285
Steve Wright,Denmark,50,393,490
Steve Harris,Denmark,69,342,414
Quentin Davis,Italy,84,94,430
Ethan Lewis,Australia,47,341,396
Ursula Walker,Canada,50,197,287
Paula Hunt,Netherlands,22,116,240
George Keller,India,50,28,199
Victor Allen,Japan,42,264,212
Paula Thomas,Argentina,57,254,257
Helen Brown,Mexico,58,168,300
Mike Hall,Poland,73,340,205
Ursula Hall,Finland,74,258,198
Rachel Hall,USA,22,454,181
Kevin Davis,Canada,66,327,384
Paula Walker,South Africa,49,328,131
Tina Anderson,Sweden,69,469,115
Fiona Thompson,France,63,211,55
Ian Martin,Norway,40,452,129
Zachary Anderson,Netherlands,21,32,150
Ethan Davis,Namibia,71,227,129
Oscar Allen,China,63,71,26
Helen Jackson,Russia,27,293,498
Quentin White,UK,59,210,192
Ursula Prince,Brazil,44,163,451
Rachel Jackson,Germany,85,45,321
Ian Costanza,Netherlands,39,364,289
Quentin Moore,South Africa,68,364,105
Fiona Moore,Germany,51,66,107
George Rodriguez,China,16,206,21
Xavier Wright,Namibia,25,378,422
Paula Brown,France,62,78,65
Tina Davis,Argentina,50,179,236
Ursula King,South Korea,68,186,317
Tina Williams,Ukraine,32,243,10
Wendy Gallagher,Norway,70,49,491
Diana Wright,South Korea,43,163,463
Quentin Costanza,France,55,483,445
Bob Walker,China,77,375,460
Xavier Young,Finland,31,114,21
Nina Davis,USA,35,460,456
Ethan Prince,Austria,74,148,174
Zachary Costanza,Puerto Rico,30,145,229
Helen Hunt,France,52,126,43
Tina Hunt,Arizona,52,128,410
Charlie Gallagher,Belgium,70,211,180
Mike Brown,Netherlands,44,104,206
Charlie Martin,Norway,59,262,12
Nina King,Australia,48,233,167
Kevin Jackson,Australia,69,234,482
Ethan Brown,Brazil,67,323,457
Paula Young,Germany,34,233,371
Kevin Prince,USA,16,456,492
Laura Young,South Africa,78,22,219
Steve Williams,Poland,75,490,39
Yvonne Davis,Netherlands,26,358,268
Charlie Harris,Puerto Rico,41,415,93
Helen White,Switzerland,45,390,357
Helen Williams,Finland,50,272,145
Xavier Lewis,Poland,26,446,446
Nina Jackson,China,23,459,227
Steve Thomas,Switzerland,34,441,56
Wendy Clark,India,20,76,139
Fiona Harris,Mexico,68,384,271
Zachary Jackson,Ukraine,30,294,13
Ethan Young,France,54,36,439
Yvonne Walker,Japan,57,364,157
Rachel Clark,France,56,51,26
Tina Keller,Switzerland,52,201,397
Laura Young,Brazil,44,214,104
Yvonne Keller,USA,56,247,363
Yvonne White,Israel,40,239,359
Alice Williams,South Korea,31,208,395
Ian Keller,Arizona,73,17,328
Ursula Hunt,China,75,6,425
Xavier Anderson,Arizona,23,57,420
Fiona Jackson,Spain,44,442,109
Ursula Lewis,China,27,230,329
Rachel White,Denmark,83,56,233
Mike Lee,Arizona,63,19,182
Tina Prince,India,46,496,353
Yvonne Lewis,Brazil,19,391,360
Charlie Brown,Norway,62,457,423
Steve Davis,Denmark,40,127,368
Ursula Davis,India,43,456,193
Julia Walker,India,19,266,309
Wendy Anderson,Israel,21,198,180
Wendy Allen,South Korea,61,424,77
Xavier Jackson,Switzerland,63,240,11
Victor Moore,Denmark,63,4,296
Ian Harris,Netherlands,17,241,276
Ursula Jackson,South Africa,34,335,483
Xavier Gallagher,Arizona,30,298,339
Fiona Martin,UK,32,478,426
Ursula Hall,Denmark,24,63,288
Nina Clark,UK,31,14,311
Zachary Keller,South Africa,16,301,333
Charlie Lewis,South Africa,16,418,285
Charlie Walker,Puerto Rico,22,26,447
George Hunt,India,67,342,87
Quentin Williams,Norway,83,237,239
Paula Moore,Germany,26,143,344
Steve Thompson,Canada,65,260,67
Diana Prince,Ukraine,70,332,336
Yvonne Young,Austria,55,223,15
Paula Thompson,Switzerland,56,493,305
Laura Harris,Italy,37,77,19
Laura Prince,Sweden,63,206,123
Xavier Lewis,Puerto Rico,52,375,272
Zachary Hall,Netherlands,61,23,25
Paula White,China,70,240,383
Ian Wright,Argentina,69,328,243
George White,Italy,32,375,58
Paula Young,India,49,261,231
Julia Moore,Arizona,46,192,443
Tina Lee,Ukraine,55,111,275
Helen White,Denmark,76,385,64
Fiona White,Australia,20,432,42
Tina Costanza,Germany,64,457,131
Nina Walker,Italy,35,196,415
Paula Prince,Russia,69,493,300
Steve Costanza,Sweden,63,123,348
Alice Costanza,Japan,47,392,285
Paula Rodriguez,Sweden,21,165,329
Mike Clark,Canada,81,409,378
Xavier Wright,China,63,119,121
Kevin Jackson,Netherlands,70,354,88
Alice Hunt,South Africa,78,130,246
Quentin Prince,Italy,39,286,81
Mike Lewis,Switzerland,53,382,189
Diana Thompson,India,37,410,66
Ethan Lewis,India,26,226,331
Oscar Clark,South Africa,58,464,478
Bob Wright,Brazil,51,352,370
Zachary Thompson,Finland,23,162,167
Paula Allen,India,77,400,433
Steve Davis,Puerto Rico,54,105,38
Ethan Hall,Israel,43,155,329
Kevin Costanza,Norway,47,258,474
Wendy Davis,Japan,58,254,181
Alice Lewis,Australia,74,81,26
Tina Anderson,Namibia,20,376,404
George Harris,Finland,73,330,181
Nina Gallagher,Mexico,41,103,296
Diana Martin,Denmark,74,500,3
Zachary Clark,Poland,57,9,205
Steve King,South Africa,45,397,473
Steve Walker,South Africa,50,411,55
Alice Wright,Japan,18,154,75
Paula King,China,49,319,99
Laura Anderson,Australia,30,472,491
Bob Prince,Argentina,25,259,280
Ursula Lee,Belgium,30,110,492
Ethan King,Brazil,63,230,498
Kevin Costanza,Argentina,55,408,258
Ursula Davis,China,27,167,367
Paula Brown,Switzerland,54,235,190
Mike Brown,Russia,68,147,431
Victor Gallagher,Denmark,39,155,427
Kevin Jackson,South Korea,69,84,2
Fiona Prince,India,59,364,129
Zachary Harris,Spain,34,340,128
Steve Thomas,USA,78,429,441
Charlie King,Arizona,47,342,152
Helen Anderson,Denmark,65,468,32
Zachary Lee,Ukraine,49,242,351
Alice Young,Germany,69,26,408
Zachary Keller,Argentina,25,27,227
Steve King,Norway,29,201,98
Kevin Hunt,Japan,49,324,391
Xavier Davis,Netherlands,16,468,88
Fiona Thomas,China,78,174,205
Charlie Harris,Namibia,21,464,311
Kevin Martin,Mexico,26,271,375
Kevin Anderson,Italy,40,112,346
George Martin,Austria,62,375,412
Bob Hunt,Argentina,59,482,306
Zachary Davis,Ukraine,71,357,389
Kevin Rodriguez,Italy,72,332,314
Diana Hall,Finland,76,281,88
Steve Brown,Ukraine,38,378,412
Julia Lewis,Netherlands,37,44,417
Steve Prince,China,52,82,293
Steve Lee,South Africa,80,58,149
Diana Thomas,USA,26,111,418
Quentin White,Austria,40,298,62
Julia Gallagher,Belgium,57,79,3
Diana Gallagher,UK,29,231,155
Alice Hunt,Germany,80,332,155
Wendy Thomas,South Africa,80,263,492
Quentin Harris,Austria,62,320,153
Rachel Davis,Australia,75,96,482
Zachary Lee,Italy,47,339,198
Oscar Hall,Poland,29,468,214
Julia Anderson,Italy,56,98,408
Ethan Young,Italy,19,457,49
Diana Costanza,Germany,82,162,452
Ethan Costanza,China,61,207,425
Rachel King,Spain,46,149,94
Rachel Anderson,USA,32,76,452
Xavier Young,Mexico,66,90,483
Mike Moore,Russia,47,400,81
Bob Hunt,Poland,47,480,428
Yvonne Anderson,Spain,46,275,218
Oscar Wright,France,73,243,198
Bob Thomas,Canada,41,334,325
